,Open,High,Low,Adj Close,Volume,sma_short,sma_long,ema_short,ema_long,macd,macd_signal,plus_di,minus_di,adx,middle,upper,lower,moment,mom_signal,mom_base,rsi
2022-02-22 15:40:00,4380481.0,4381017.0,4374517.0,4374517.0,0,4379235.333333333,4356601.84,4361040.496725828,4341166.931478053,19873.565247775055,18493.662032086817,56.62020283073207,22.07502274198866,31.401829723111355,4356601.84,4406730.725568105,4306472.954431895,61228.5,62568.8,0,0.7104684032669447
2022-02-22 15:45:00,4367282.5,4367472.5,4366496.0,4366589.5,0,4380530.125,4358437.18,4361467.343131534,4342144.722575052,19322.620556482114,18877.195662642414,58.01895240731394,24.21357278929287,32.04900771500544,4358437.18,4406403.246494764,4310471.113505235,46423.5,60987.3,0,0.6531252340236204
2022-02-22 15:50:00,4364227.5,4364227.5,4363817.5,4363817.5,0,4380960.791666667,4359834.22,4361648.124429108,4342978.29093755,18669.833491557278,19102.880094442517,51.74713398985907,28.789748963263566,31.812769219893674,4359834.22,4406223.2791042775,4313445.160895722,43111.5,59337.25,0,0.6039591399466225
2022-02-22 15:55:00,4362068.5,4362068.5,4354323.0,4354323.0,0,4377748.791666667,4360981.64,4361084.653319176,4343414.62590149,17670.027417685837,19142.917913315196,46.159577110015256,37.17626920211445,30.4105608999852,4360981.64,4405215.3232406415,4316747.956759358,25431.5,56838.85,0,0.5153500333186294
2022-02-22 16:00:00,4353991.0,4353991.0,4352185.0,4352185.0,0,4374852.833333333,4361287.56,4360400.064602316,4343751.947982202,16648.116620114073,18976.557903366578,41.40879213090299,41.073609621929045,28.410281407477832,4361287.56,4405151.606424911,4317423.513575088,26547.5,54699.45,0,0.4680252256708297
2022-02-22 16:05:00,4357622.0,4357622.0,4351774.0,4351774.0,0,4372701.041666667,4361071.78,4359736.521171369,4344060.488444425,15676.032726943493,18610.355717964987,17.569768842182658,55.84486375823187,29.991963476664964,4361071.78,4405073.114366094,4317070.445633907,7237.0,49086.7,0,0.19461660795767008
2022-02-22 16:10:00,4348775.5,4348775.5,4337760.0,4337760.0,0,4369297.541666667,4360595.28,4358046.019542802,4343818.161965793,14227.857577009127,18020.62294280198,14.647130932228125,67.7923063452221,32.29021379899759,4360595.28,4405362.313540283,4315828.246459718,-19408.5,40099.65,0,0.17374227918980423
2022-02-22 16:15:00,4333496.0,4333496.0,4326116.0,4326116.0,2314731520,4364292.541666667,4359743.28,4355589.864193356,4343137.309582493,12452.554610862397,17180.570477507594,14.263625821414767,68.63559880852225,34.51006858771747,4359743.28,4406329.228310589,4313157.331689412,-23556.5,30584.9,0,0.16859046576753467
2022-02-22 16:20:00,4319517.5,4321260.5,4318282.0,4321260.5,1753743360,4358582.916666667,4359311.14,4352949.14387079,4342295.893829321,10653.250041469,16132.65092109982,13.559358670218803,73.71347667965394,36.80449789486935,4359311.14,4407150.483415751,4311471.796584249,-26155.5,20202.75,0,0.14828286297866075
2022-02-22 16:25:00,4324270.5,4336012.5,4324270.5,4336012.5,11972902912,4354349.291666667,4359650.48,4351646.325111498,4342054.224835885,9592.100275613368,14990.265924192965,22.048152290017,68.40664162600486,37.767561398574756,4359650.48,4406663.70523624,4312637.254763761,3948.5,14480.75,0,0.21721189025249593
