,Open,High,Low,Adj Close,Volume
2022/2/18 0:28,4651589.5,4651589.5,4651589.5,4651589.5,938999808
2022/2/18 0:29,4654192.5,4654192.5,4654192.5,4654192.5,2383151104
2022/2/18 0:30,4657950.5,4657950.5,4657950.5,4657950.5,4372299776
2022/2/18 0:31,4657006,4657006,4657006,4657006,1677983744
2022/2/18 0:32,4661724,4661724,4661724,4661724,1669070848
2022/2/18 0:33,4662463.5,4662463.5,4662463.5,4662463.5,282853376
2022/2/18 0:34,4661852.5,4661852.5,4661852.5,4661852.5,185860096
2022/2/18 0:35,4664746,4664746,4664746,4664746,3298820096
2022/2/18 0:36,4664052.5,4664052.5,4664052.5,4664052.5,5489033216
2022/2/18 0:37,4666511.5,4666511.5,4666511.5,4666511.5,769916928
2022/2/18 0:38,4667004.5,4667004.5,4667004.5,4667004.5,323485696
2022/2/18 0:39,4668898.5,4668898.5,4668898.5,4668898.5,1180172288
2022/2/18 0:40,4669271.5,4669271.5,4669271.5,4669271.5,1594621952
2022/2/18 0:41,4672155,4672155,4672155,4672155,2038431744
2022/2/18 0:42,4671000,4671000,4671000,4671000,713293824
2022/2/18 0:43,4671285,4671285,4671285,4671285,0
2022/2/18 0:44,4668436.5,4668436.5,4668436.5,4668436.5,815529984
2022/2/18 0:45,4666813.5,4666813.5,4666813.5,4666813.5,0
2022/2/18 0:46,4666609.5,4666609.5,4666609.5,4666609.5,0
2022/2/18 0:47,4664168.5,4664168.5,4664168.5,4664168.5,0
2022/2/18 0:48,4664988.5,4664988.5,4664988.5,4664988.5,1372585984
2022/2/18 0:49,4663644.5,4663644.5,4663644.5,4663644.5,19136512
2022/2/18 0:50,4660065.5,4660065.5,4660065.5,4660065.5,555220992
2022/2/18 0:51,4655097,4655097,4655097,4655097,0
2022/2/18 0:52,4654932.5,4654932.5,4654932.5,4654932.5,0
2022/2/18 0:53,4652872,4652872,4652872,4652872,2388393984
2022/2/18 0:54,4654907,4654907,4654907,4654907,282066944
2022/2/18 0:55,4654906,4654906,4654906,4654906,471072768
2022/2/18 0:56,4659007.5,4659007.5,4659007.5,4659007.5,1402470400
2022/2/18 0:57,4661588,4661588,4661588,4661588,1641807872
2022/2/18 0:58,4662116,4662116,4662116,4662116,1501298688
2022/2/18 0:59,4663954.5,4663954.5,4663954.5,4663954.5,241434624
2022/2/18 1:00,4665217,4665217,4665217,4665217,771227648
2022/2/18 1:01,4666867,4666867,4666867,4666867,0
2022/2/18 1:02,4668064.5,4668064.5,4668064.5,4668064.5,788791296
2022/2/18 1:03,4669760,4669760,4669760,4669760,609746944
2022/2/18 1:04,4669163.5,4669163.5,4669163.5,4669163.5,0
2022/2/18 1:05,4670085,4670085,4670085,4670085,998244352
2022/2/18 1:06,4669076.5,4669076.5,4669076.5,4669076.5,2560622592
2022/2/18 1:07,4665689.5,4665689.5,4665689.5,4665689.5,0
2022/2/18 1:08,4659180.5,4659180.5,4659180.5,4659180.5,3397910528
2022/2/18 1:09,4658523,4658523,4658523,4658523,0
2022/2/18 1:10,4658078,4658078,4658078,4658078,0
2022/2/18 1:11,4657433,4657433,4657433,4657433,675282944
2022/2/18 1:12,4655990.5,4655990.5,4655990.5,4655990.5,0
2022/2/18 1:13,4654769.5,4654769.5,4654769.5,4654769.5,1107034112
2022/2/18 1:14,4654631,4654631,4654631,4654631,0
2022/2/18 1:15,4655598.5,4655598.5,4655598.5,4655598.5,35389440
2022/2/18 1:16,4655580.5,4655580.5,4655580.5,4655580.5,477626368
2022/2/18 1:17,4654534.5,4654534.5,4654534.5,4654534.5,168034304
2022/2/18 1:18,4653170.5,4653170.5,4653170.5,4653170.5,0
2022/2/18 1:19,4655623.5,4655623.5,4655623.5,4655623.5,0
2022/2/18 1:20,4656527.5,4656527.5,4656527.5,4656527.5,1740898304
2022/2/18 1:21,4657074,4657074,4657074,4657074,0
2022/2/18 1:22,4656176.5,4656176.5,4656176.5,4656176.5,0
2022/2/18 1:23,4655553,4655553,4655553,4655553,0
2022/2/18 1:24,4654502.5,4654502.5,4654502.5,4654502.5,603455488
2022/2/18 1:25,4652201.5,4652201.5,4652201.5,4652201.5,0
2022/2/18 1:26,4652566,4652566,4652566,4652566,241172480
2022/2/18 1:27,4651295.5,4651295.5,4651295.5,4651295.5,93323264
2022/2/18 1:28,4651352,4651352,4651352,4651352,0
2022/2/18 1:29,4649502,4649502,4649502,4649502,1067188224
2022/2/18 1:30,4650835.5,4650835.5,4650835.5,4650835.5,1272446976
2022/2/18 1:31,4650152.5,4650152.5,4650152.5,4650152.5,0
2022/2/18 1:32,4651297,4651297,4651297,4651297,2523398144
2022/2/18 1:33,4660966,4660966,4660966,4660966,5085855744
2022/2/18 1:34,4661375,4661375,4661375,4661375,0
2022/2/18 1:35,4671803.5,4671803.5,4671803.5,4671803.5,0
2022/2/18 1:36,4671356.5,4671356.5,4671356.5,4671356.5,4545052672
2022/2/18 1:37,4681420,4681420,4681420,4681420,9812836352
2022/2/18 1:38,4679801,4679801,4679801,4679801,0
2022/2/18 1:39,4686287.5,4686287.5,4686287.5,4686287.5,3149922304
2022/2/18 1:40,4686424,4686424,4686424,4686424,6010961920
2022/2/18 1:41,4694905.5,4694905.5,4694905.5,4694905.5,8434483200
2022/2/18 1:42,4698979.5,4698979.5,4698979.5,4698979.5,3801350144
2022/2/18 1:43,4699651.5,4699651.5,4699651.5,4699651.5,3296985088
2022/2/18 1:44,4709441,4709441,4709441,4709441,11311251456
2022/2/18 1:45,4708640.5,4708640.5,4708640.5,4708640.5,3869769728
2022/2/18 1:46,4709526.5,4709526.5,4709526.5,4709526.5,745537536
2022/2/18 1:47,4707068.5,4707068.5,4707068.5,4707068.5,4914937856
2022/2/18 1:48,4707252.5,4707252.5,4707252.5,4707252.5,0
2022/2/18 1:49,4707454,4707454,4707454,4707454,1106247680
2022/2/18 1:50,4706832.5,4706832.5,4706832.5,4706832.5,5933891584
2022/2/18 1:51,4706960.5,4706960.5,4706960.5,4706960.5,615776256
2022/2/18 1:52,4706604,4706604,4706604,4706604,0
2022/2/18 1:53,4706855.5,4706855.5,4706855.5,4706855.5,0
2022/2/18 1:54,4705177,4705177,4705177,4705177,844627968
2022/2/18 1:55,4705899.5,4705899.5,4705899.5,4705899.5,0
2022/2/18 1:56,4705563,4705563,4705563,4705563,4227858432
2022/2/18 1:57,4705713,4705713,4705713,4705713,1500250112
2022/2/18 1:58,4703347,4703347,4703347,4703347,0
2022/2/18 1:59,4701357,4701357,4701357,4701357,2695364608
2022/2/18 2:00,4700064,4700064,4700064,4700064,786432
2022/2/18 2:01,4699163.5,4699163.5,4699163.5,4699163.5,0
2022/2/18 2:02,4699673.5,4699673.5,4699673.5,4699673.5,342884352
2022/2/18 2:03,4699982,4699982,4699982,4699982,0
2022/2/18 2:04,4702314.5,4702314.5,4702314.5,4702314.5,0
2022/2/18 2:05,4703433,4703433,4703433,4703433,880541696
2022/2/18 2:06,4703400,4703400,4703400,4703400,1105985536
2022/2/18 2:07,4704346,4704346,4704346,4704346,136577024
2022/2/18 2:08,4706717.5,4706717.5,4706717.5,4706717.5,524550144
2022/2/18 2:09,4706288.5,4706288.5,4706288.5,4706288.5,0
2022/2/18 2:10,4706334,4706334,4706334,4706334,928776192
2022/2/18 2:11,4706509.5,4706509.5,4706509.5,4706509.5,2226388992
2022/2/18 2:12,4704684.5,4704684.5,4704684.5,4704684.5,390332416
2022/2/18 2:13,4698685.5,4698685.5,4698685.5,4698685.5,1985478656
2022/2/18 2:14,4698702,4698702,4698702,4698702,11010048
2022/2/18 2:15,4697362.5,4697362.5,4697362.5,4697362.5,2649751552
2022/2/18 2:16,4697848.5,4697848.5,4697848.5,4697848.5,0
2022/2/18 2:17,4696163.5,4696163.5,4696163.5,4696163.5,1283981312
2022/2/18 2:18,4695785.5,4695785.5,4695785.5,4695785.5,0
2022/2/18 2:19,4698304.5,4698304.5,4698304.5,4698304.5,585105408
