,Open,High,Low,Adj Close,Volume,sma_short,sma_long,ema_short,ema_long,macd,macd_signal,plus_di,minus_di,adx,middle,upper,lower,moment,mom_signal,mom_base,rsi
2022-02-25 13:05:00,4543619.0,4548977.0,4542459.0,4548977.0,14721220608,4507137.0,4481402.38,4490589.662398429,4470944.05258443,19645.609813998453,14083.789140243187,73.26770252639069,11.619815759300993,47.978458102516484,4481402.38,4546306.977741198,4416497.782258802,99614.0,56778.75,0,0.8665566174616691
2022-02-25 13:10:00,4553402.0,4553402.0,4550427.0,4550427.0,7090208768,4511474.0,4485899.14,4495192.534521626,4474001.089097861,21191.445423765108,15200.140392717698,73.08584871487655,11.69886275430796,49.606785374587254,4485899.14,4553785.620656804,4418012.659343195,98736.0,62384.25,0,0.8615107380893606
2022-02-25 13:15:00,4547984.5,4547984.5,4543822.5,4543822.5,0,4515537.875,4490137.34,4498933.301096885,4476686.5280415295,22246.773055355996,16384.355743599226,66.53569062603512,17.637876780390858,50.17244299057186,4490137.34,4558755.199977561,4421519.480022439,105814.5,69525.45,0,0.790231477480134
2022-02-25 13:20:00,4542596.0,4548212.5,4541604.0,4548212.5,1437859840,4520281.958333333,4494537.6,4502724.008704817,4479437.527024885,23286.481679932214,17659.844639750507,59.24891792494601,21.25114080981684,49.97442500163886,4494537.6,4563388.002057094,4425687.197942905,110345.0,76932.25,0,0.7735194506501847
2022-02-25 13:25:00,4549678.0,4552528.5,4546779.5,4546779.5,8841068544,4525165.416666667,4498776.36,4506112.8926506005,4482027.602964559,24085.289686041884,18984.41166693945,62.36530352720702,17.097918479352117,50.440560707524966,4498776.36,4566888.6506962,4430664.0693038,108573.5,84706.75,0,0.7899445599834072
2022-02-25 13:30:00,4545228.0,4546098.0,4544425.0,4544425.0,20709376,4529863.291666667,4502387.98,4509059.977831324,4484427.502900444,24632.47493087966,20323.9963971185,63.96620687761434,17.183052181633457,50.921239848187064,4502387.98,4570211.909598732,4434564.0504012685,103614.5,91964.65,0,0.8027057047648885
2022-02-25 13:35:00,4550979.0,4573480.5,4550979.0,4573480.5,32329170944,4537290.208333333,4507019.16,4514015.402613529,4487852.61824199,26162.78437153902,21683.67795102029,72.32107008491086,11.122057489553438,52.41596949300944,4507019.16,4577872.926155963,4436165.393844037,119346.0,100181.85,0,0.8750302257589413
2022-02-25 13:40:00,4572394.5,4575623.0,4571778.0,4575623.0,8840282112,4544465.958333333,4511557.42,4518754.448566334,4491228.402220664,27526.046345670708,22964.246848126357,72.14837555475722,10.856367324573341,53.844343094154816,4511557.42,4584930.175762253,4438184.664237747,117922.0,105105.8,0,0.8783074497267641
2022-02-25 13:45:00,4576579.0,4576579.0,4562827.5,4562827.5,0,4550291.458333333,4515895.26,4522144.683292001,4493982.213724624,28162.46956737619,24104.374986062136,67.38975697386707,13.704369047215536,54.668142052585665,4515895.26,4587995.28497411,4443795.235025889,100661.0,105759.05,0,0.8142696944210821
2022-02-25 13:50:00,4560412.0,4560412.0,4558948.0,4558948.0,0,4553581.625,4519705.6,4524975.707654154,4496480.897856555,28494.80979759898,25087.61942868442,67.20243712304598,16.47690750694074,55.064861748637334,4519705.6,4590363.946262189,4449047.25373781,104566.5,106919.3,0,0.7809546160818335
2022-02-25 13:55:00,4556583.5,4556583.5,4547616.5,4547616.5,0,4553936.875,4522946.74,4526717.307065373,4498447.651818764,28269.65524660889,25874.08718677817,61.34567180914694,23.09520161934346,54.41377263439687,4522946.74,4590832.091359977,4455061.388640024,83927.0,105350.6,0,0.7079784321479634
2022-02-25 14:00:00,4549117.0,4549117.0,4538593.0,4538593.0,0,4553311.0,4525613.52,4527630.821906499,4499991.703697265,27639.118209233508,26473.23664832012,50.41934019872999,32.80225517579819,52.19744688846745,4525613.52,4590310.463665943,4460916.576334056,72005.0,102677.5,0,0.5839116968351599
2022-02-25 14:05:00,4535640.0,4538196.5,4535624.0,4536836.5,0,4552299.291666667,4527998.86,4528338.950990614,4501408.811269764,26930.139720849693,26878.08754175539,38.77757609606255,41.38116098855068,48.93415285043028,4527998.86,4589581.186710952,4466416.533289049,64913.0,98587.35,0,0.46451981707317075
2022-02-25 14:10:00,4532867.5,4534488.5,4532867.5,4534238.5,0,4550950.25,4529898.96,4528792.762452874,4502671.491624729,26121.270828145556,27104.3076686558,34.29329342336973,44.96681886821198,46.56963949976137,4529898.96,4589060.247695173,4470737.672304827,57035.5,93256.4,0,0.4352968763633191
2022-02-25 14:15:00,4534943.0,4534943.0,4529016.5,4529016.5,0,4549716.416666667,4531124.3,4528809.973033423,4503684.761192428,25125.211840994656,27159.056214224132,34.476048039065525,48.59675835413044,44.59819643985818,4531124.3,4588816.492306161,4473432.107693839,42280.5,86627.1,0,0.393868338357978
2022-02-25 14:20:00,4525653.0,4527272.5,4524273.5,4524855.0,1088946176,4547769.958333333,4532316.26,4528505.744338544,4504499.001158005,24006.74318053946,26919.496081890848,30.402206430631296,52.718958593490306,43.41488063066835,4532316.26,4588103.350741059,4476529.169258941,26472.0,78912.85,0,0.36784222929672966
2022-02-25 14:25:00,4526583.0,4529056.5,4526583.0,4529056.5,5934153728,4546293.041666667,4533827.18,4528548.110158656,4505443.520356994,23104.58980166167,26428.22313255651,32.71109560362875,47.817882983802846,41.7711847508388,4533827.18,4586967.032623348,4480687.327376652,34000.5,70378.3,0,0.4217446605543484
2022-02-25 14:30:00,4530936.0,4533456.0,4529352.0,4529352.0,138936320,4545036.958333333,4535474.14,4528609.947838759,4506363.077278284,22246.870560474694,25770.9343540119,37.511598046842046,46.728647878611795,39.71586478328664,4535474.14,4585158.864834546,4485789.415165453,38068.5,62392.95,0,0.39551027418130646
2022-02-25 14:35:00,4532021.5,4544396.0,4532021.5,4540719.0,0,4542306.833333333,4537580.88,4529541.413389624,4507684.45893793,21856.954451694153,25033.394871133587,40.21630429160129,42.98411986826905,37.28991942803919,4537580.88,4583186.032086849,4491975.727913151,52541.0,57580.95,0,0.4697533051519946
2022-02-25 14:40:00,4535845.0,4535845.0,4533101.5,4534859.5,0,4538909.875,4539600.96,4529950.496975037,4508729.652837484,21220.844137553126,24250.193636794058,38.4707686978896,39.176707324113245,34.86453536599247,4539600.96,4579500.080774582,4499701.839225418,46809.0,51805.2,0,0.4538743074274637
2022-02-25 14:45:00,4533214.5,4533214.5,4525351.0,4530733.0,0,4536235.333333333,4541249.72,4530010.689515418,4509575.93543043,20434.754084988497,23449.708734100168,18.942090256611934,54.32602497296234,35.75981764435776,4541249.72,4575536.782539653,4506962.657460347,46375.5,48050.05,0,0.22862348512261857
2022-02-25 14:50:00,4534875.5,4537870.0,4534875.5,4536023.5,134742016,4534324.958333333,4542973.8,4530473.213398848,4510593.14946363,19880.063935217448,22666.36698014103,20.7415096855298,52.62280718462505,36.27290555150228,4542973.8,4570875.416370588,4515072.183629411,46509.5,45500.5,0,0.2582698987284592
2022-02-25 14:55:00,4533863.0,4534071.0,4530656.5,4531311.0,0,4532966.166666667,4543447.6,4530537.658522014,4511389.989877382,19147.66864463128,21891.522293083886,22.541465055502368,52.292286594043524,36.5051042964627,4543447.6,4570058.353648819,4516836.84635118,38389.5,42848.15,0,0.2865473312066969
2022-02-25 15:00:00,4531940.0,4531940.0,4510394.0,4510394.0,0,4530616.25,4542129.22,4528988.146328012,4511351.682574012,17636.463754000142,21059.43917230672,19.056910853662806,58.54406566098491,37.463755239338425,4542129.22,4571844.176197983,4512414.263802016,-9072.0,36237.4,0,0.23281753849201545
2022-02-25 15:05:00,4491505.0,4491505.0,4482119.0,4485481.0,0,4526336.625,4539704.32,4525641.442764319,4510356.656311344,15284.786452974193,20090.33286924391,16.596368901335467,63.89666800022861,38.88371945233799,4539704.32,4576996.1737987595,4502412.466201241,-57872.5,26222.1,0,0.20254297737075672
2022-02-25 15:10:00,4494527.5,4497695.0,4494422.0,4497695.0,12370051072,4523291.333333333,4537653.04,4523491.716397832,4509869.669525517,13622.046872314997,19036.716988205393,21.042375909868905,56.29544642353339,39.33035289254189,4537653.04,4578309.529416426,4496996.550583574,-48408.5,18734.05,0,0.3100153295861012
2022-02-25 15:15:00,4500564.5,4500564.5,4494345.0,4498111.0,1774977024,4520715.875,4535560.4,4521539.353597999,4509417.413001178,12121.940596820787,17911.724770021625,22.647391457611185,52.77120909464779,39.37113999190799,4535560.4,4578781.963115817,4492338.836884184,-50866.0,10247.4,0,0.3178386464022127
