Open,Low,High,Adj Close,Volume
5032569.5,5032569.5,5032569.5,5032569.5,0.0
5033054.0,5033054.0,5033054.0,5033054.0,216793088.0
5024486.0,5024486.0,5024486.0,5024486.0,7556562944.0
5026489.0,5026489.0,5026489.0,5026489.0,900464640.0
5021868.5,5021868.5,5021868.5,5021868.5,0.0
5006701.5,5006701.5,5006701.5,5006701.5,10640687104.0
5009282.5,5009282.5,5009282.5,5009282.5,1170210816.0
5008659.5,5008659.5,5008659.5,5008659.5,857735168.0
5004688.0,5004688.0,5004688.0,5004688.0,1659371520.0
5007476.5,5007476.5,5007476.5,5007476.5,3183476736.0
5009021.0,5009021.0,5009021.0,5009021.0,2455502848.0
5011159.0,5011159.0,5011159.0,5011159.0,6953369600.0
5012461.0,5012461.0,5012461.0,5012461.0,594018304.0
5013344.5,5013344.5,5013344.5,5013344.5,686292992.0
5015359.5,5015359.5,5015359.5,5015359.5,4757913600.0
5018321.5,5018321.5,5018321.5,5018321.5,705429504.0
5018258.0,5018258.0,5018258.0,5018258.0,1659633664.0
5021296.5,5021296.5,5021296.5,5021296.5,5795479552.0
5020643.5,5020643.5,5020643.5,5020643.5,478674944.0
5023533.0,5023533.0,5023533.0,5023533.0,0.0
5027039.5,5027039.5,5027039.5,5027039.5,3370385408.0
5025001.5,5025001.5,5025001.5,5025001.5,0.0
5025327.0,5025327.0,5025327.0,5025327.0,0.0
5023021.5,5023021.5,5023021.5,5023021.5,0.0
5020916.5,5020916.5,5020916.5,5020916.5,526647296.0
5021791.5,5021791.5,5021791.5,5021791.5,0.0
5024327.0,5024327.0,5024327.0,5024327.0,465043456.0
5023434.5,5023434.5,5023434.5,5023434.5,0.0
5021673.0,5021673.0,5021673.0,5021673.0,0.0
5020372.5,5020372.5,5020372.5,5020372.5,0.0
5020060.0,5020060.0,5020060.0,5020060.0,0.0
5020422.0,5020422.0,5020422.0,5020422.0,0.0
5023363.5,5023363.5,5023363.5,5023363.5,475529216.0
5022887.0,5022887.0,5022887.0,5022887.0,0.0
5025048.5,5025048.5,5025048.5,5025048.5,0.0
5031926.5,5031926.5,5031926.5,5031926.5,2749366272.0
5033635.0,5033635.0,5033635.0,5033635.0,3739746304.0
5034401.5,5034401.5,5034401.5,5034401.5,2857107456.0
5033378.5,5033378.5,5033378.5,5033378.5,0.0
5033843.5,5033843.5,5033843.5,5033843.5,47185920.0
5029995.5,5029995.5,5029995.5,5029995.5,0.0
5030513.5,5030513.5,5030513.5,5030513.5,1015021568.0
5030830.0,5030830.0,5030830.0,5030830.0,0.0
5030896.0,5030896.0,5030896.0,5030896.0,0.0
5030271.5,5030271.5,5030271.5,5030271.5,455868416.0
5030061.0,5030061.0,5030061.0,5030061.0,0.0
5027252.0,5027252.0,5027252.0,5027252.0,0.0
5028302.5,5028302.5,5028302.5,5028302.5,0.0
5027601.0,5027601.0,5027601.0,5027601.0,0.0
5030241.0,5030241.0,5030241.0,5030241.0,74973184.0
5031385.0,5031385.0,5031385.0,5031385.0,373293056.0
5031054.0,5031054.0,5031054.0,5031054.0,1213202432.0
5032103.0,5032103.0,5032103.0,5032103.0,9319743488.0
5031361.0,5031361.0,5031361.0,5031361.0,508035072.0
5031769.0,5031769.0,5031769.0,5031769.0,18350080.0
5030196.0,5030196.0,5030196.0,5030196.0,0.0
5028190.5,5028190.5,5028190.5,5028190.5,0.0
5028357.5,5028357.5,5028357.5,5028357.5,0.0
5026980.5,5026980.5,5026980.5,5026980.5,996409344.0
5027536.0,5027536.0,5027536.0,5027536.0,554696704.0
5026554.5,5026554.5,5026554.5,5026554.5,0.0
5023996.5,5023996.5,5023996.5,5023996.5,0.0
5024621.0,5024621.0,5024621.0,5024621.0,285736960.0
5022743.5,5022743.5,5022743.5,5022743.5,0.0
5019995.0,5019995.0,5019995.0,5019995.0,0.0
5021623.0,5021623.0,5021623.0,5021623.0,139722752.0
5025421.0,5025421.0,5025421.0,5025421.0,2275934208.0
5028115.5,5028115.5,5028115.5,5028115.5,0.0
5029088.5,5029088.5,5029088.5,5029088.5,0.0
5029615.5,5029615.5,5029615.5,5029615.5,492568576.0
5033111.5,5033111.5,5033111.5,5033111.5,10042474496.0
5033056.0,5033056.0,5033056.0,5033056.0,401604608.0
5031957.5,5031957.5,5031957.5,5031957.5,0.0
5032910.5,5032910.5,5032910.5,5032910.5,907804672.0
5033460.0,5033460.0,5033460.0,5033460.0,252182528.0
5032727.5,5032727.5,5032727.5,5032727.5,0.0
5031754.0,5031754.0,5031754.0,5031754.0,0.0
5033305.5,5033305.5,5033305.5,5033305.5,452198400.0
5034350.0,5034350.0,5034350.0,5034350.0,219676672.0
5035597.5,5035597.5,5035597.5,5035597.5,290193408.0
5034661.5,5034661.5,5034661.5,5034661.5,0.0
5033804.0,5033804.0,5033804.0,5033804.0,0.0
5031770.5,5031770.5,5031770.5,5031770.5,4206886912.0
5031579.5,5031579.5,5031579.5,5031579.5,14417920.0
5031667.5,5031667.5,5031667.5,5031667.5,0.0
5031745.0,5031745.0,5031745.0,5031745.0,703070208.0
5031510.5,5031510.5,5031510.5,5031510.5,0.0
5031860.0,5031860.0,5031860.0,5031860.0,69468160.0
5032204.0,5032204.0,5032204.0,5032204.0,0.0
5031778.0,5031778.0,5031778.0,5031778.0,1924136960.0
5031691.5,5031691.5,5031691.5,5031691.5,0.0
5032574.5,5032574.5,5032574.5,5032574.5,938475520.0
5032457.5,5032457.5,5032457.5,5032457.5,0.0
5032139.5,5032139.5,5032139.5,5032139.5,0.0
5031982.0,5031982.0,5031982.0,5031982.0,5337513984.0
5032910.5,5032910.5,5032910.5,5032910.5,594804736.0
5033169.5,5033169.5,5033169.5,5033169.5,0.0
5035180.0,5035180.0,5035180.0,5035180.0,0.0
5035093.0,5035093.0,5035093.0,5035093.0,0.0
5033068.5,5033068.5,5033068.5,5033068.5,0.0
5030046.5,5030046.5,5030046.5,5030046.5,1003749376.0
5030186.5,5030186.5,5030186.5,5030186.5,0.0
5029842.5,5029842.5,5029842.5,5029842.5,0.0
5029398.0,5029398.0,5029398.0,5029398.0,419692544.0
5030111.5,5030111.5,5030111.5,5030111.5,521928704.0
5029487.5,5029487.5,5029487.5,5029487.5,0.0
5029023.5,5029023.5,5029023.5,5029023.5,4286578688.0
5026730.5,5026730.5,5026730.5,5026730.5,0.0
5026362.0,5026362.0,5026362.0,5026362.0,0.0
5024479.0,5024479.0,5024479.0,5024479.0,0.0
5025133.0,5025133.0,5025133.0,5025133.0,300679168.0
5024839.5,5024839.5,5024839.5,5024839.5,0.0
5024816.0,5024816.0,5024816.0,5024816.0,0.0
5024652.0,5024652.0,5024652.0,5024652.0,0.0
5024355.0,5024355.0,5024355.0,5024355.0,0.0
5024225.0,5024225.0,5024225.0,5024225.0,0.0
5025036.5,5025036.5,5025036.5,5025036.5,251133952.0
5025486.5,5025486.5,5025486.5,5025486.5,0.0
5027911.0,5027911.0,5027911.0,5027911.0,1009254400.0
5028185.5,5028185.5,5028185.5,5028185.5,0.0
5027040.0,5027040.0,5027040.0,5027040.0,38535168.0
5025566.5,5025566.5,5025566.5,5025566.5,0.0
5026134.5,5026134.5,5026134.5,5026134.5,4666163200.0
5026799.5,5026799.5,5026799.5,5026799.5,0.0
5030506.0,5030506.0,5030506.0,5030506.0,644349952.0
5029876.0,5029876.0,5029876.0,5029876.0,343146496.0
5029787.0,5029787.0,5029787.0,5029787.0,466092032.0
5029614.5,5029614.5,5029614.5,5029614.5,387710976.0
5029839.5,5029839.5,5029839.5,5029839.5,832569344.0
5029228.5,5029228.5,5029228.5,5029228.5,0.0
5028143.5,5028143.5,5028143.5,5028143.5,135266304.0
5027951.0,5027951.0,5027951.0,5027951.0,0.0
5026291.5,5026291.5,5026291.5,5026291.5,0.0
5024530.5,5024530.5,5024530.5,5024530.5,0.0
5025011.5,5025011.5,5025011.5,5025011.5,0.0
5026027.0,5026027.0,5026027.0,5026027.0,352845824.0
5026054.5,5026054.5,5026054.5,5026054.5,0.0
5026125.0,5026125.0,5026125.0,5026125.0,0.0
5027281.0,5027281.0,5027281.0,5027281.0,710934528.0
5029095.0,5029095.0,5029095.0,5029095.0,788004864.0
5029909.5,5029909.5,5029909.5,5029909.5,115605504.0
5030559.5,5030559.5,5030559.5,5030559.5,0.0
5032933.5,5032933.5,5032933.5,5032933.5,4691329024.0
5033803.5,5033803.5,5033803.5,5033803.5,0.0
5033730.0,5033730.0,5033730.0,5033730.0,415236096.0
5034258.5,5034258.5,5034258.5,5034258.5,678952960.0
5034535.5,5034535.5,5034535.5,5034535.5,207355904.0
5035160.0,5035160.0,5035160.0,5035160.0,180355072.0
5035632.0,5035632.0,5035632.0,5035632.0,301465600.0
5040262.5,5040262.5,5040262.5,5040262.5,3079667712.0
5039453.5,5039453.5,5039453.5,5039453.5,0.0
5046942.5,5046942.5,5046942.5,5046942.5,0.0
5045369.5,5045369.5,5045369.5,5045369.5,741867520.0
5045688.0,5045688.0,5045688.0,5045688.0,1432092672.0
5046332.5,5046332.5,5046332.5,5046332.5,2556166144.0
5046441.5,5046441.5,5046441.5,5046441.5,590086144.0
5045855.5,5045855.5,5045855.5,5045855.5,28049408.0
5047732.0,5047732.0,5047732.0,5047732.0,5464915968.0
5048044.0,5048044.0,5048044.0,5048044.0,1204813824.0
5047398.5,5047398.5,5047398.5,5047398.5,0.0
5050623.0,5050623.0,5050623.0,5050623.0,1948778496.0
5050068.5,5050068.5,5050068.5,5050068.5,0.0
